# Energy z_(mm) Energy_Dep Net_Charge
300000 0 0 0
300000 1 0 0
300000 2 0 0
300000 3 0 0
300000 4 0 0
300000 5 0 0
300000 6 0 0
300000 7 0 0
300000 8 0 0
300000 9 0 0
300000 10 0 0
300000 11 0 0
300000 12 0 0
300000 13 0 0
300000 14 0 0
300000 15 0 0
300000 16 0 0
300000 17 0 0
300000 18 0 0
300000 19 0 0
300000 20 0 0
300000 21 0 0
300000 22 0 0
300000 23 0 0
300000 24 0 0
300000 25 0 0
300000 26 0 0
300000 27 0 0
300000 28 0 0
300000 29 0 0
300000 30 0 0
300000 31 0 0
300000 32 0 0
300000 33 0 0
300000 34 0 0
300000 35 0 0
300000 36 0 0
300000 37 0 0
300000 38 0 0
300000 39 0 0
300000 40 0 0
300000 41 0 0
300000 42 0 0
300000 43 0 0
300000 44 0 0
300000 45 0 0
300000 46 0 0
300000 47 0 0
300000 48 0 0
300000 49 0 0
300000 50 0 0
300000 51 0 0
300000 52 0 0
300000 53 0 0
300000 54 0 0
300000 55 0 0
300000 56 0 0
300000 57 0 0
300000 58 0 0
300000 59 0 0
300000 60 0 0
300000 61 0 0
300000 62 0 0
300000 63 0 0
300000 64 0 0
300000 65 0 0
300000 66 0 0
300000 67 0 0
300000 68 0 0
300000 69 0 0
300000 70 0 0
300000 71 0 0
300000 72 0 0
300000 73 0 0
300000 74 0 0
300000 75 0 0
300000 76 0 0
300000 77 0 0
300000 78 0 0
300000 79 0 0
300000 80 0 0
300000 81 0 0
300000 82 0 0
300000 83 0 0
300000 84 0 0
300000 85 0 0
300000 86 0 0
300000 87 0 0
300000 88 0 0
300000 89 0 0
300000 90 0 0
300000 91 0 0
300000 92 0 0
300000 93 0 0
300000 94 0 0
300000 95 0 0
300000 96 0 0
300000 97 0 0
300000 98 0 0
300000 99 0 0
300000 100 0 0
300000 101 0 0
300000 102 0 0
300000 103 0 0
300000 104 0 0
300000 105 0 0
300000 106 0 0
300000 107 0 0
300000 108 0 0
300000 109 0 0
300000 110 0 0
300000 111 0 0
300000 112 0 0
300000 113 0 0
300000 114 0 0
300000 115 0 0
300000 116 0 0
300000 117 0 0
300000 118 0 0
300000 119 0 0
300000 120 0 0
300000 121 0 0
300000 122 0 0
300000 123 0 0
300000 124 0 0
300000 125 0 0
300000 126 0 0
300000 127 0 0
300000 128 0 0
300000 129 0 0
300000 130 0 0
300000 131 0 0
300000 132 0 0
300000 133 0 0
300000 134 0 0
300000 135 0 0
300000 136 0 0
300000 137 0 0
300000 138 0 0
300000 139 0 0
300000 140 0 0
300000 141 0 0
300000 142 0 0
300000 143 0 0
300000 144 0 0
300000 145 0 0
300000 146 0 0
300000 147 0 0
300000 148 0 0
300000 149 0 0
300000 150 0 0
300000 151 0 0
300000 152 0 0
300000 153 0 0
300000 154 0 0
300000 155 0 0
300000 156 0 0
300000 157 0 0
300000 158 0 0
300000 159 0 0
300000 160 0 0
300000 161 0 0
300000 162 0 0
300000 163 0 0
300000 164 0 0
300000 165 0 0
300000 166 0 0
300000 167 0 0
300000 168 0 0
300000 169 0 0
300000 170 0 0
300000 171 0 0
300000 172 0 0
300000 173 0 0
300000 174 0 0
300000 175 0 0
300000 176 0 0
300000 177 0 0
300000 178 0 0
300000 179 0 0
300000 180 0 0
300000 181 0 0
300000 182 0 0
300000 183 0 0
300000 184 0 0
300000 185 0 0
300000 186 0 0
300000 187 0 0
300000 188 0 0
300000 189 0 0
300000 190 0 0
300000 191 0 0
300000 192 0 0
300000 193 0 0
300000 194 0 0
300000 195 0 0
300000 196 0 0
300000 197 0 0
300000 198 0 0
300000 199 0 0
300000 200 0 0
300000 201 0 0
300000 202 0 0
300000 203 0 0
300000 204 0 0
300000 205 0 0
300000 206 0 0
300000 207 0 0
300000 208 0 0
300000 209 0 0
300000 210 0 0
300000 211 0 0
300000 212 0 0
300000 213 0 0
300000 214 0 0
300000 215 0 0
300000 216 0 0
300000 217 0 0
300000 218 0 0
300000 219 0 0
300000 220 0 0
300000 221 0 0
300000 222 0 0
300000 223 0 0
300000 224 0 0
300000 225 0 0
300000 226 0 0
300000 227 0 0
300000 228 0 0
300000 229 0 0
300000 230 0 0
300000 231 0 0
300000 232 0 0
300000 233 0 0
300000 234 0 0
300000 235 0 0
300000 236 0 0
300000 237 0 0
300000 238 0 0
300000 239 0 0
300000 240 0 0
300000 241 0 0
300000 242 0 0
300000 243 0 0
300000 244 0 0
300000 245 0 0
300000 246 0 0
300000 247 0 0
300000 248 0 0
300000 249 0 0
300000 250 0 0
300000 251 0 0
300000 252 0 0
300000 253 0 0
300000 254 0 0
300000 255 0 0
300000 256 0 0
300000 257 0 0
300000 258 0 0
300000 259 0 0
300000 260 0 0
300000 261 0 0
300000 262 0 0
300000 263 0 0
300000 264 0 0
300000 265 0 0
300000 266 0 0
300000 267 0 0
300000 268 0 0
300000 269 0 0
300000 270 0 0
300000 271 0 0
300000 272 0 0
300000 273 0 0
300000 274 0 0
300000 275 0 0
300000 276 0 0
300000 277 0 0
300000 278 0 0
300000 279 0 0
300000 280 0 0
300000 281 0 0
300000 282 0 0
300000 283 0 0
300000 284 0 0
300000 285 0 0
300000 286 0 0
300000 287 0 0
300000 288 0 0
300000 289 0 0
300000 290 0 0
300000 291 0 0
300000 292 0 0
300000 293 0 0
300000 294 0 0
300000 295 0 0
300000 296 0 0
300000 297 0 0
300000 298 0 0
300000 299 0 0
300000 300 0 0
300000 301 0 0
300000 302 0 0
300000 303 0 0
300000 304 0 0
300000 305 0 0
300000 306 0 0
300000 307 0 0
300000 308 0 0
300000 309 0 0
300000 310 0 0
300000 311 0 0
300000 312 0 0
300000 313 0 0
300000 314 0 0
300000 315 0 0
300000 316 0 0
300000 317 0 0
300000 318 0 0
300000 319 0 0
300000 320 0 0
300000 321 0 0
300000 322 0 0
300000 323 0 0
300000 324 0 0
300000 325 0 0
300000 326 0 0
300000 327 0 0
300000 328 0 0
300000 329 0 0
300000 330 0 0
300000 331 0 0
300000 332 0 0
300000 333 0 0
300000 334 0 0
300000 335 0 0
300000 336 0 0
300000 337 0 0
300000 338 0 0
300000 339 0 0
300000 340 0 0
300000 341 0 0
300000 342 0 0
300000 343 0 0
300000 344 0 0
300000 345 0 0
300000 346 0 0
300000 347 0 0
300000 348 0 0
300000 349 0 0
300000 350 0 0
300000 351 0 0
300000 352 0 0
300000 353 0 0
300000 354 0 0
300000 355 0 0
300000 356 0 0
300000 357 0 0
300000 358 0 0
300000 359 0 0
300000 360 0 0
300000 361 0 0
300000 362 0 0
300000 363 0 0
300000 364 0 0
300000 365 0 0
300000 366 0 0
300000 367 0 0
300000 368 0 0
300000 369 0 0
300000 370 0 0
300000 371 0 0
300000 372 0 0
300000 373 0 0
300000 374 0 0
300000 375 0 0
300000 376 0 0
300000 377 0 0
300000 378 0 0
300000 379 0 0
300000 380 0 0
300000 381 0 0
300000 382 0 0
300000 383 0 0
300000 384 0 0
300000 385 0 0
300000 386 0 0
300000 387 0 0
300000 388 0 0
300000 389 0 0
300000 390 0 0
300000 391 0 0
300000 392 0 0
300000 393 0 0
300000 394 0 0
300000 395 0 0
300000 396 0 0
300000 397 0 0
300000 398 0 0
300000 399 0 0
300000 400 0 0
300000 401 0 0
300000 402 0 0
300000 403 0 0
300000 404 0 0
300000 405 0 0
300000 406 0 0
300000 407 0 0
300000 408 0 0
300000 409 0 0
300000 410 0 0
300000 411 0 0
300000 412 0 0
300000 413 0 0
300000 414 0 0
300000 415 0 0
300000 416 0 0
300000 417 0 0
300000 418 0 0
300000 419 0 0
300000 420 0 0
300000 421 0 0
300000 422 0 0
300000 423 0 0
300000 424 0 0
300000 425 0 0
300000 426 0 0
300000 427 0 0
300000 428 0 0
300000 429 0 0
300000 430 0 0
300000 431 0 0
300000 432 0 0
300000 433 0 0
300000 434 0 0
300000 435 0 0
300000 436 0 0
300000 437 0 0
300000 438 0 0
300000 439 0 0
300000 440 0 0
300000 441 0 0
300000 442 0 0
300000 443 0 0
300000 444 0 0
300000 445 0 0
300000 446 0 0
300000 447 0 0
300000 448 0 0
300000 449 0 0
300000 450 0 0
300000 451 0 0
300000 452 0 0
300000 453 0 0
300000 454 0 0
300000 455 0 0
300000 456 0 0
300000 457 0 0
300000 458 0 0
300000 459 0 0
300000 460 0 0
300000 461 0 0
300000 462 0 0
300000 463 0 0
300000 464 0 0
300000 465 0 0
300000 466 0 0
300000 467 0 0
300000 468 0 0
300000 469 0 0
300000 470 0 0
300000 471 0 0
300000 472 0 0
300000 473 0 0
300000 474 0 0
300000 475 0 0
300000 476 0 0
300000 477 0 0
300000 478 2.12901e-06 0
300000 479 4.80185e-06 0
300000 480 0 0
300000 481 1.17198e-06 0
300000 482 0 0
300000 483 0 0
300000 484 0 0
300000 485 7.14973e-08 0
300000 486 0 0
300000 487 0 0
300000 488 0 0
300000 489 0 0
300000 490 1.40305e-06 0
300000 491 0 0
300000 492 0 0
300000 493 0 0
300000 494 0 0
300000 495 0 0
300000 496 3.14979e-06 0
300000 497 0 0
300000 498 4.57895e-07 0
300000 499 0 0
300000 500 0 0
300000 501 0 0
300000 502 0 0
300000 503 0 0
300000 504 0 0
300000 505 0 0
300000 506 0 0
300000 507 0 0
300000 508 0 0
300000 509 1.4089e-06 0
300000 510 0 0
300000 511 1.05089e-06 0
300000 512 4.66979e-06 0
300000 513 0 0
300000 514 0 0
300000 515 0 0
300000 516 0 0
300000 517 8.35667e-07 0
300000 518 0 0
300000 519 0 0
300000 520 0 0
300000 521 0 0
300000 522 0 0
300000 523 0 0
300000 524 3.31641e-06 0
300000 525 0 0
300000 526 0 0
300000 527 0 0
300000 528 0 0
300000 529 0 0
300000 530 0 0
300000 531 0 0
300000 532 0 0
300000 533 0 0
300000 534 0 0
300000 535 0 0
300000 536 0 0
300000 537 0 0
300000 538 0 0
300000 539 0 0
300000 540 0 0
300000 541 0 0
300000 542 0 0
300000 543 0 0
300000 544 0 0
300000 545 0 0
300000 546 0 0
300000 547 0 0
300000 548 0 0
300000 549 0 0
300000 550 0 0
300000 551 0 0
300000 552 0 0
300000 553 0 0
300000 554 0 0
300000 555 0 0
300000 556 0 0
300000 557 0 0
300000 558 0 0
300000 559 0 0
300000 560 0 0
300000 561 0 0
300000 562 0 0
300000 563 0 0
300000 564 0 0
300000 565 0 0
300000 566 0 0
300000 567 0 0
300000 568 0 0
300000 569 0 0
300000 570 0 0
300000 571 0 0
300000 572 0 0
300000 573 0 0
300000 574 0 0
300000 575 0 0
300000 576 0 0
300000 577 0 0
300000 578 0 0
300000 579 0 0
300000 580 0 0
300000 581 0 0
300000 582 0 0
300000 583 0 0
300000 584 0 0
300000 585 0 0
300000 586 0 0
300000 587 0 0
300000 588 0 0
300000 589 0 0
300000 590 0 0
300000 591 0 0
300000 592 0 0
300000 593 0 0
300000 594 0 0
300000 595 0 0
300000 596 0 0
300000 597 0 0
300000 598 0 0
300000 599 0 0
300000 600 0 0
300000 601 0 0
300000 602 0 0
300000 603 0 0
300000 604 0 0
300000 605 0 0
300000 606 0 0
300000 607 0 0
300000 608 0 0
300000 609 0 0
300000 610 0 0
300000 611 0 0
300000 612 0 0
300000 613 0 0
300000 614 0 0
300000 615 0 0
300000 616 0 0
300000 617 0 0
300000 618 0 0
300000 619 0 0
300000 620 0 0
300000 621 0 0
300000 622 0 0
300000 623 0 0
300000 624 0 0
300000 625 0 0
300000 626 0 0
300000 627 0 0
300000 628 0 0
300000 629 0 0
300000 630 0 0
300000 631 0 0
300000 632 0 0
300000 633 0 0
300000 634 0 0
300000 635 0 0
300000 636 0 0
300000 637 0 0
300000 638 0 0
300000 639 0 0
300000 640 0 0
300000 641 0 0
300000 642 0 0
300000 643 0 0
300000 644 0 0
300000 645 0 0
300000 646 0 0
300000 647 0 0
300000 648 0 0
300000 649 0 0
300000 650 0 0
300000 651 0 0
300000 652 0 0
300000 653 0 0
300000 654 0 0
300000 655 0 0
300000 656 0 0
300000 657 0 0
300000 658 0 0
300000 659 0 0
300000 660 0 0
300000 661 0 0
300000 662 0 0
300000 663 0 0
300000 664 0 0
300000 665 0 0
300000 666 0 0
300000 667 0 0
300000 668 0 0
300000 669 0 0
300000 670 0 0
300000 671 0 0
300000 672 0 0
300000 673 0 0
300000 674 0 0
300000 675 0 0
300000 676 0 0
300000 677 0 0
300000 678 0 0
300000 679 0 0
300000 680 0 0
300000 681 0 0
300000 682 0 0
300000 683 0 0
300000 684 0 0
300000 685 0 0
300000 686 0 0
300000 687 0 0
300000 688 0 0
300000 689 0 0
300000 690 0 0
300000 691 0 0
300000 692 0 0
300000 693 0 0
300000 694 0 0
300000 695 0 0
300000 696 0 0
300000 697 0 0
300000 698 0 0
300000 699 0 0
300000 700 0 0
300000 701 0 0
300000 702 0 0
300000 703 0 0
300000 704 0 0
300000 705 0 0
300000 706 0 0
300000 707 0 0
