# Energy z_(mm) Energy_Dep Net_Charge
10 0 2.99891e-23 -0.91
10 1 0 0
10 2 0 0
10 3 0 0
10 4 0 0
10 5 0 0
10 6 0 0
10 7 0 0
10 8 0 0
10 9 0 0
10 10 0 0
10 11 0 0
10 12 0 0
10 13 0 0
10 14 0 0
10 15 0 0
10 16 0 0
10 17 0 0
10 18 0 0
10 19 2.90109e-24 0.01
10 20 0 0
10 21 0 0
10 22 0 0
10 23 0 0
10 24 0 0
10 25 0 0
10 26 0 0
10 27 0 0
10 28 0 0
10 29 0 0
10 30 0 0
10 31 0 0
10 32 0 0
10 33 0 0
10 34 0 0
10 35 0 0
10 36 0 0
10 37 2.13009e-24 0.01
10 38 0 0
10 39 0 0
10 40 0 0
10 41 0 0
10 42 0 0
10 43 0 0
10 44 0 0
10 45 0 0
10 46 0 0
10 47 0 0
10 48 0 0
10 49 0 0
10 50 0 0
10 51 0 0
10 52 0 0
10 53 0 0
10 54 0 0
10 55 0 0
10 56 0 0
10 57 0 0
10 58 0 0
10 59 0 0
10 60 0 0
10 61 0 0
10 62 0 0
10 63 0 0
10 64 0 0
10 65 0 0
10 66 0 0
10 67 0 0
10 68 0 0
10 69 0 0
10 70 0 0
10 71 0 0
10 72 0 0
10 73 0 0
10 74 0 0
10 75 0 0
10 76 3.55579e-24 0.01
10 77 0 0
10 78 0 0
10 79 0 0
10 80 0 0
10 81 0 0
10 82 0 0
10 83 0 0
10 84 0 0
10 85 0 0
10 86 0 0
10 87 0 0
10 88 0 0
10 89 2.74193e-24 0.01
10 90 0 0
10 91 0 0
10 92 0 0
10 93 0 0
10 94 0 0
10 95 0 0
10 96 2.85933e-24 0.01
10 97 0 0
10 98 0 0
10 99 0 0
10 100 0 0
10 101 0 0
10 102 0 0
10 103 0 0
10 104 0 0
10 105 0 0
10 106 0 0
10 107 2.72993e-24 0.01
10 108 0 0
10 109 0 0
10 110 0 0
10 111 0 0
10 112 1.98022e-24 0.01
10 113 0 0
10 114 0 0
10 115 0 0
10 116 0 0
10 117 0 0
10 118 0 0
10 119 0 0
10 120 3.14941e-24 0.01
10 121 0 0
10 122 0 0
10 123 0 0
10 124 0 0
10 125 0 0
10 126 0 0
10 127 0 0
10 128 0 0
10 129 0 0
10 130 0 0
10 131 0 0
10 132 0 0
10 133 0 0
10 134 0 0
10 135 0 0
10 136 0 0
10 137 2.91052e-24 0.01
10 138 0 0
10 139 0 0
10 140 0 0
10 141 0 0
10 142 0 0
10 143 0 0
10 144 0 0
10 145 0 0
10 146 0 0
10 147 0 0
10 148 0 0
10 149 0 0
10 150 0 0
10 151 0 0
10 152 0 0
10 153 0 0
10 154 0 0
10 155 0 0
10 156 0 0
10 157 0 0
10 158 0 0
10 159 0 0
10 160 0 0
10 161 0 0
10 162 0 0
10 163 0 0
10 164 0 0
10 165 0 0
10 166 0 0
10 167 0 0
10 168 0 0
10 169 0 0
10 170 0 0
10 171 0 0
10 172 0 0
10 173 0 0
10 174 0 0
10 175 0 0
10 176 2.5239e-24 0.01
10 177 0 0
10 178 0 0
10 179 0 0
10 180 0 0
10 181 0 0
10 182 1.85106e-24 0.01
10 183 0 0
10 184 0 0
10 185 0 0
10 186 0 0
10 187 0 0
10 188 0 0
10 189 0 0
10 190 1.74544e-24 0.01
10 191 0 0
10 192 0 0
10 193 0 0
10 194 0 0
10 195 0 0
10 196 0 0
10 197 0 0
10 198 0 0
10 199 0 0
10 200 0 0
10 201 0 0
10 202 0 0
10 203 0 0
10 204 0 0
10 205 0 0
10 206 0 0
10 207 0 0
10 208 0 0
10 209 0 0
10 210 0 0
10 211 0 0
10 212 0 0
10 213 0 0
10 214 0 0
10 215 0 0
10 216 0 0
10 217 0 0
10 218 0 0
10 219 0 0
10 220 0 0
10 221 0 0
10 222 0 0
10 223 0 0
10 224 0 0
10 225 0 0
10 226 1.84001e-24 0.01
10 227 0 0
10 228 0 0
10 229 0 0
10 230 0 0
10 231 0 0
10 232 0 0
10 233 0 0
10 234 0 0
10 235 0 0
10 236 0 0
10 237 0 0
10 238 0 0
10 239 0 0
10 240 0 0
10 241 0 0
10 242 0 0
10 243 0 0
10 244 0 0
10 245 0 0
10 246 0 0
10 247 0 0
10 248 0 0
10 249 0 0
10 250 0 0
10 251 0 0
10 252 0 0
10 253 0 0
10 254 0 0
10 255 0 0
10 256 0 0
10 257 0 0
10 258 0 0
10 259 0 0
10 260 0 0
10 261 0 0
10 262 0 0
10 263 2.01706e-24 0.01
10 264 0 0
10 265 0 0
10 266 0 0
10 267 0 0
10 268 0 0
10 269 0 0
10 270 0 0
10 271 0 0
10 272 0 0
10 273 0 0
10 274 0 0
10 275 0 0
10 276 0 0
10 277 0 0
10 278 0 0
10 279 0 0
10 280 0 0
10 281 0 0
10 282 0 0
10 283 0 0
10 284 0 0
10 285 0 0
10 286 0 0
10 287 0 0
10 288 0 0
10 289 2.62008e-24 0.01
10 290 0 0
10 291 0 0
10 292 0 0
10 293 0 0
10 294 0 0
10 295 0 0
10 296 0 0
10 297 0 0
10 298 0 0
10 299 0 0
10 300 0 0
10 301 0 0
10 302 0 0
10 303 0 0
10 304 1.83428e-24 0.01
10 305 0 0
10 306 0 0
10 307 0 0
10 308 0 0
10 309 0 0
10 310 0 0
10 311 2.20396e-24 0.01
10 312 0 0
10 313 0 0
10 314 0 0
10 315 0 0
10 316 0 0
10 317 0 0
10 318 0 0
10 319 0 0
10 320 2.1942e-24 0.01
10 321 0 0
10 322 0 0
10 323 0 0
10 324 0 0
10 325 0 0
10 326 0 0
10 327 0 0
10 328 0 0
10 329 0 0
10 330 0 0
