# Energy z_(mm) Energy_Dep Net_Charge
400000 0 0 0
400000 1 0 0
400000 2 0 0
400000 3 0 0
400000 4 0 0
400000 5 0 0
400000 6 0 0
400000 7 0 0
400000 8 0 0
400000 9 0 0
400000 10 0 0
400000 11 0 0
400000 12 0 0
400000 13 0 0
400000 14 0 0
400000 15 0 0
400000 16 0 0
400000 17 0 0
400000 18 0 0
400000 19 0 0
400000 20 0 0
400000 21 0 0
400000 22 0 0
400000 23 0 0
400000 24 0 0
400000 25 0 0
400000 26 0 0
400000 27 0 0
400000 28 0 0
400000 29 0 0
400000 30 0 0
400000 31 0 0
400000 32 0 0
400000 33 0 0
400000 34 0 0
400000 35 0 0
400000 36 0 0
400000 37 0 0
400000 38 0 0
400000 39 0 0
400000 40 0 0
400000 41 0 0
400000 42 0 0
400000 43 0 0
400000 44 0 0
400000 45 0 0
400000 46 0 0
400000 47 0 0
400000 48 0 0
400000 49 0 0
400000 50 0 0
400000 51 0 0
400000 52 0 0
400000 53 0 0
400000 54 0 0
400000 55 0 0
400000 56 0 0
400000 57 0 0
400000 58 0 0
400000 59 0 0
400000 60 0 0
400000 61 0 0
400000 62 0 0
400000 63 0 0
400000 64 0 0
400000 65 0 0
400000 66 0 0
400000 67 0 0
400000 68 0 0
400000 69 0 0
400000 70 0 0
400000 71 0 0
400000 72 0 0
400000 73 0 0
400000 74 0 0
400000 75 0 0
400000 76 0 0
400000 77 0 0
400000 78 0 0
400000 79 0 0
400000 80 0 0
400000 81 0 0
400000 82 0 0
400000 83 0 0
400000 84 0 0
400000 85 0 0
400000 86 0 0
400000 87 0 0
400000 88 0 0
400000 89 0 0
400000 90 0 0
400000 91 0 0
400000 92 0 0
400000 93 0 0
400000 94 0 0
400000 95 0 0
400000 96 0 0
400000 97 0 0
400000 98 0 0
400000 99 0 0
400000 100 0 0
400000 101 0 0
400000 102 0 0
400000 103 0 0
400000 104 0 0
400000 105 0 0
400000 106 0 0
400000 107 0 0
400000 108 0 0
400000 109 0 0
400000 110 0 0
400000 111 0 0
400000 112 0 0
400000 113 0 0
400000 114 0 0
400000 115 0 0
400000 116 0 0
400000 117 0 0
400000 118 0 0
400000 119 0 0
400000 120 0 0
400000 121 0 0
400000 122 0 0
400000 123 0 0
400000 124 0 0
400000 125 0 0
400000 126 0 0
400000 127 0 0
400000 128 0 0
400000 129 0 0
400000 130 0 0
400000 131 0 0
400000 132 0 0
400000 133 0 0
400000 134 0 0
400000 135 0 0
400000 136 0 0
400000 137 0 0
400000 138 0 0
400000 139 0 0
400000 140 0 0
400000 141 0 0
400000 142 0 0
400000 143 0 0
400000 144 0 0
400000 145 0 0
400000 146 0 0
400000 147 0 0
400000 148 0 0
400000 149 0 0
400000 150 0 0
400000 151 0 0
400000 152 0 0
400000 153 0 0
400000 154 0 0
400000 155 0 0
400000 156 0 0
400000 157 0 0
400000 158 0 0
400000 159 0 0
400000 160 0 0
400000 161 0 0
400000 162 0 0
400000 163 0 0
400000 164 0 0
400000 165 0 0
400000 166 0 0
400000 167 0 0
400000 168 0 0
400000 169 0 0
400000 170 0 0
400000 171 0 0
400000 172 0 0
400000 173 0 0
400000 174 0 0
400000 175 0 0
400000 176 0 0
400000 177 0 0
400000 178 0 0
400000 179 0 0
400000 180 0 0
400000 181 0 0
400000 182 0 0
400000 183 0 0
400000 184 0 0
400000 185 0 0
400000 186 0 0
400000 187 0 0
400000 188 0 0
400000 189 0 0
400000 190 0 0
400000 191 0 0
400000 192 0 0
400000 193 0 0
400000 194 0 0
400000 195 0 0
400000 196 0 0
400000 197 0 0
400000 198 0 0
400000 199 0 0
400000 200 0 0
400000 201 0 0
400000 202 0 0
400000 203 0 0
400000 204 0 0
400000 205 0 0
400000 206 0 0
400000 207 0 0
400000 208 0 0
400000 209 0 0
400000 210 0 0
400000 211 0 0
400000 212 0 0
400000 213 0 0
400000 214 0 0
400000 215 0 0
400000 216 0 0
400000 217 0 0
400000 218 0 0
400000 219 0 0
400000 220 0 0
400000 221 0 0
400000 222 0 0
400000 223 0 0
400000 224 0 0
400000 225 0 0
400000 226 0 0
400000 227 0 0
400000 228 0 0
400000 229 0 0
400000 230 0 0
400000 231 0 0
400000 232 0 0
400000 233 0 0
400000 234 0 0
400000 235 0 0
400000 236 0 0
400000 237 0 0
400000 238 0 0
400000 239 0 0
400000 240 0 0
400000 241 0 0
400000 242 0 0
400000 243 0 0
400000 244 0 0
400000 245 0 0
400000 246 0 0
400000 247 0 0
400000 248 0 0
400000 249 0 0
400000 250 0 0
400000 251 0 0
400000 252 0 0
400000 253 0 0
400000 254 0 0
400000 255 0 0
400000 256 0 0
400000 257 0 0
400000 258 0 0
400000 259 0 0
400000 260 0 0
400000 261 0 0
400000 262 0 0
400000 263 0 0
400000 264 0 0
400000 265 0 0
400000 266 0 0
400000 267 0 0
400000 268 0 0
400000 269 0 0
400000 270 0 0
400000 271 0 0
400000 272 0 0
400000 273 0 0
400000 274 0 0
400000 275 0 0
400000 276 0 0
400000 277 0 0
400000 278 0 0
