# Energy z_(mm) Energy_Dep Net_Charge
20000 0 0 -1
20000 1 0 0
20000 2 0 0
20000 3 0 0
20000 4 0 0
20000 5 0 0
20000 6 0 0
20000 7 0 0
20000 8 0 0
20000 9 0 0
20000 10 0 0
20000 11 0 0
20000 12 0 0
20000 13 0 0
20000 14 0 0
20000 15 0 0
20000 16 0 0
20000 17 0 0
20000 18 0 0
20000 19 0 0
20000 20 0 0
20000 21 0 0
20000 22 0 0
20000 23 0 0
20000 24 0 0
20000 25 0 0
20000 26 0 0
20000 27 0 0
20000 28 0 0
20000 29 0 0
20000 30 0 0
20000 31 0 0
20000 32 0 0
20000 33 0 0
20000 34 0 0
20000 35 0 0
20000 36 0 0
20000 37 0 0
20000 38 0 0
20000 39 0 0
20000 40 0 0
20000 41 0 0
20000 42 0 0
20000 43 0 0
20000 44 0 0
20000 45 0 0
20000 46 0 0
20000 47 0 0
20000 48 0 0
20000 49 0 0
20000 50 0 0
20000 51 0 0
20000 52 0 0
20000 53 0 0
20000 54 0 0
20000 55 0 0
20000 56 0 0
20000 57 0 0
20000 58 0 0
20000 59 0 0
20000 60 0 0
20000 61 0 0
20000 62 0 0
20000 63 0 0
20000 64 0 0
20000 65 0 0
20000 66 0 0
20000 67 0 0
20000 68 0 0
20000 69 0 0
20000 70 0 0
20000 71 0 0
20000 72 0 0
20000 73 0 0
20000 74 0 0
20000 75 0 0
20000 76 0 0
20000 77 0 0
20000 78 0 0
20000 79 0 0
20000 80 0 0
20000 81 0 0
20000 82 0 0
20000 83 0 0
20000 84 0 0
20000 85 0 0
20000 86 0 0
20000 87 0 0
20000 88 0 0
20000 89 0 0
20000 90 0 0
20000 91 0 0
20000 92 0 0
20000 93 0 0
20000 94 0 0
20000 95 0 0
20000 96 0 0
20000 97 0 0
20000 98 0 0
20000 99 0 0
20000 100 0 0
20000 101 0 0
20000 102 0 0
20000 103 0 0
20000 104 0 0
20000 105 0 0
20000 106 0 0
20000 107 0 0
20000 108 0 0
20000 109 0 0
20000 110 0 0
20000 111 0 0
20000 112 0 0
20000 113 0 0
20000 114 0 0
20000 115 0 0
20000 116 0 0
20000 117 0 0
20000 118 0 0
20000 119 0 0
20000 120 0 0
20000 121 0 0
20000 122 0 0
20000 123 0 0
20000 124 0 0
20000 125 0 0
20000 126 0 0
20000 127 0 0
20000 128 0 0
20000 129 0 0
20000 130 0 0
20000 131 0 0
20000 132 0 0
20000 133 0 0
20000 134 0 0
20000 135 0 0
20000 136 0 0
20000 137 0 0
20000 138 0 0
20000 139 0 0
20000 140 0 0
20000 141 0 0
20000 142 0 0
20000 143 0 0
20000 144 0 0
20000 145 0 0
20000 146 0 0
20000 147 0 0
20000 148 0 0
20000 149 0 0
20000 150 0 0
20000 151 0 0
20000 152 0 0
20000 153 0 0
20000 154 0 0
20000 155 0 0
20000 156 0 0
20000 157 0 0
20000 158 0 0
20000 159 0 0
20000 160 0 0
20000 161 0 0
20000 162 0 0
20000 163 0 0
20000 164 0 0
20000 165 0 0
20000 166 0 0
20000 167 0 0
20000 168 0 0
20000 169 0 0
20000 170 0 0
20000 171 0 0
20000 172 0 0
20000 173 0 0
20000 174 0 0
20000 175 0 0
20000 176 0 0
20000 177 0 0
20000 178 0 0
20000 179 0 0
20000 180 0 0
20000 181 0 0
20000 182 0 0
20000 183 0 0
20000 184 0 0
20000 185 0 0
20000 186 0 0
20000 187 0 0
20000 188 0 0
20000 189 0 0
20000 190 0 0
20000 191 0 0
20000 192 0 0
20000 193 0 0
20000 194 0 0
20000 195 0 0
20000 196 0 0
20000 197 0 0
20000 198 0 0
20000 199 0 0
20000 200 0 0
20000 201 0 0
20000 202 0 0
20000 203 0 0
20000 204 0 0
20000 205 0 0
20000 206 0 0
20000 207 0 0
20000 208 0 0
20000 209 0 0
20000 210 0 0
20000 211 0 0
20000 212 0 0
20000 213 0 0
20000 214 0 0
20000 215 0 0
20000 216 0 0
20000 217 0 0
20000 218 0 0
20000 219 0 0
20000 220 0 0
20000 221 0 0
20000 222 0 0
20000 223 0 0
20000 224 0 0
20000 225 0 0
20000 226 0 0
20000 227 0 0
20000 228 0 0
20000 229 0 0
20000 230 0 0
20000 231 0 0
20000 232 0 0
20000 233 0 0
20000 234 0 0
20000 235 0 0
20000 236 0 0
20000 237 0 0
20000 238 0 0
20000 239 0 0
20000 240 0 0
20000 241 0 0
20000 242 0 0
20000 243 0 0
20000 244 0 0
20000 245 0 0
20000 246 0 0
20000 247 0 0
20000 248 0 0
20000 249 0 0
20000 250 0 0
20000 251 0 0
20000 252 0 0
20000 253 0 0
20000 254 0 0
20000 255 0 0
20000 256 0 0
20000 257 0 0
20000 258 0 0
20000 259 0 0
20000 260 0 0
20000 261 0 0
20000 262 0 0
20000 263 0 0
20000 264 0 0
20000 265 0 0
20000 266 0 0
20000 267 0 0
20000 268 0 0
20000 269 0 0
20000 270 0 0
20000 271 0 0
20000 272 0 0
20000 273 0 0
20000 274 0 0
20000 275 0 0
20000 276 0 0
20000 277 0 0
20000 278 0 0
20000 279 0 0
20000 280 0 0
20000 281 0 0
20000 282 0 0
20000 283 0 0
20000 284 0 0
20000 285 0 0
20000 286 0 0
20000 287 0 0
20000 288 0 0
20000 289 0 0
20000 290 0 0
20000 291 0 0
20000 292 0 0
20000 293 0 0
20000 294 0 0
20000 295 0 0
20000 296 0 0
20000 297 0 0
20000 298 0 0
20000 299 0 0
20000 300 0 0
20000 301 0 0
20000 302 0 0
20000 303 0 0
20000 304 0 0
20000 305 0 0
20000 306 0 0
20000 307 0 0
20000 308 0 0
20000 309 0 0
20000 310 0 0
20000 311 0 0
20000 312 0 0
20000 313 0 0
20000 314 0 0
20000 315 0 0
20000 316 0 0
20000 317 0 0
20000 318 0 0
20000 319 0 0
20000 320 0 0
20000 321 0 0
20000 322 0 0
20000 323 0 0
20000 324 0 0
20000 325 0 0
20000 326 0 0
20000 327 0 0
20000 328 0 0
20000 329 0 0
20000 330 0 0
20000 331 0 0
20000 332 0 0
20000 333 0 0
20000 334 0 0
20000 335 0 0
20000 336 0 0
20000 337 0 0
20000 338 0 0
20000 339 0 0
20000 340 0 0
20000 341 0 0
20000 342 0 0
20000 343 0 0
20000 344 0 0
20000 345 0 0
20000 346 0 0
20000 347 0 0
20000 348 0 0
20000 349 0 0
20000 350 0 0
20000 351 0 0
20000 352 0 0
20000 353 0 0
20000 354 0 0
20000 355 0 0
20000 356 0 0
20000 357 0 0
20000 358 0 0
20000 359 0 0
20000 360 0 0
20000 361 0 0
20000 362 0 0
20000 363 0 0
